store,title,review,rating,date,bank_name
Apple,Mob App stucks randomly,"Mobile app not opening and it close by itself. I tried to re-install the app again and again. Still no way.

Rest all other mobile apps work well on my phone.",,2025-03-16T12:09:49-07:00,Bank Dhofar
Apple,Ø­Ø³Ø§Ø¨Ø§Øª Ø§Ù„Ø§Ø·Ù�Ø§Ù„,"Ù…ØªÙ‰ ØªØ±Ø¨Ø·ÙˆØ§ Ø­Ø³Ø§Ø¨Ø§Øª Ø§Ù„Ø§Ø·Ù�Ø§Ù„ Ù…Ø¹ Ø­Ø³Ø§Ø¨ Ø§Ù„Ø§Ø¨ Ù…Ø«Ù„ Ø¨Ø¹Ø¶ Ø§Ù„Ø¨Ù†ÙˆÙƒ
Ø­Ø³Ø§Ø¨ Ø§Ù„Ø·Ù�Ù„ Ù…ÙˆØ¬ÙˆØ¯ Ù�ÙŠ Ù†Ù�Ø³ Ø§Ù„Ø¨Ø±Ù†Ø§Ù…Ø¬ Ù„Ù„Ø§Ø¨ Ø§Ùˆ Ø§Ù„ÙˆØµÙŠ",,2025-01-16T22:38:08-07:00,Bank Dhofar
Apple,Super app,Super and wow app,,2024-11-10T20:03:02-07:00,Bank Dhofar
Apple,Apple pay is not working,"Supposed to support Apple pay, but still not configured as it shows â€œthe region setting for this device cant be used with Apple payâ€�",,2024-09-19T19:34:35-07:00,Bank Dhofar
Apple,ØªØ­Ø³ÙŠÙ† Ø§Ù„ØªØ·Ø¨ÙŠÙ‚,Ø§Ù„ØªØ·Ø¨ÙŠÙ‚ Ù…Ù…ÙƒÙ† Ø§Ù‚Ø¨Ù„Ù‡ Ù„Ùˆ ÙƒØ§Ù† Ù…Ù† Ø¨Ù†Ùƒ Ø§Ø®Ø± Ù„ÙƒÙ† Ø¨Ù†Ùƒ Ø¸Ù�Ø§Ø± Ø¹ÙˆØ¯Ù†Ø§ Ø¹Ù„Ù‰ Ø§Ù„Ø±ÙŠØ§Ø¯Ù‡ Ù�Ø§Ù„Ù…Ø¬Ø§Ù„ Ø§Ù„ØªÙ‚Ù†ÙŠØŒ Ø§Ù„ØªØ·Ø¨ÙŠÙ‚ ÙŠØ­ØªØ§Ø¬ Ù…Ù…ÙŠØ²Ø§Øª Ø§Ø¶Ø§Ù�ÙŠÙ‡ Ùˆ Ø£Ø¹Ø§Ø¯Ù‡ ØªØµÙ…ÙŠÙ…ØŒ Ø§Ù„ØªØµÙ…ÙŠÙ… Ø§Ù„Ø­Ø§Ù„ÙŠ ÙƒØ£Ù†Ù‡ Ù…ÙˆÙ‚Ø¹,,2024-09-17T18:15:35-07:00,Bank Dhofar
Apple,The app,You really need to enhance your app we save our money with you!!! It always says we cannot transform money to a number or whatever you just take the money after a sec you return it as well we do that to transform to  other people not to return the money to us back! It just always say the system not responding!!!!,,2024-08-09T06:19:51-07:00,Bank Dhofar
Apple,Ø¸Ù�Ø§Ø± pay,Ø¸Ù�Ø§Ø± Ø¨Ø§ÙŠ Ù„Ø§ÙŠØ¹Ù…Ù„ Ø¹Ù„Ù‰ Ø§Ù„Ø§ÙŠÙ�ÙˆÙ†,,2024-07-10T03:08:17-07:00,Bank Dhofar
Apple,ÙŠØ­ØªØ§Ø¬ ØªØ­Ø¯ÙŠØ« Ù„Ù„Ø®Ø¯Ù…Ø§Øª,Ø§Ù„ØªØ·Ø¨ÙŠÙ‚ ÙŠØ­ØªØ§Ø¬ ØªØ·ÙˆÙŠØ±Ù‡ Ø£ÙƒØ«Ø± Ù…Ù† ÙƒØ°Ø§ Ùˆ ÙŠÙ†Ù‚ØµÙ‡ Ø¨Ø¹Ø¶ Ø§Ù„Ø®Ø¯Ù…Ø§Øª,,2024-04-24T10:13:53-07:00,Bank Dhofar
Apple,Ø§Ù„ØªØ·Ø¨ÙŠÙ‚ Ù„Ø§ÙŠØ¹Ù…Ù„ Ø¹Ù„Ù‰ ÙƒÙ„ Ø§Ù„Ø®ÙŠØ§Ø±Ø§Øª,ØªØµÙ†ÙŠÙ� Ø¶Ø¹ÙŠÙ� Ø¬Ø¯Ø§ ÙˆØºÙŠØ± ØµØ§Ù„Ø­ Ù„Ù„Ø§Ø³ØªØ®Ø¯Ø§Ù…,,2024-04-04T01:23:39-07:00,Bank Dhofar
Apple,Crash,App crashes alot,,2024-02-22T09:01:28-07:00,Bank Dhofar
Apple,App issue,The app for some reason is not opening and it close by itself.,,2024-02-22T07:28:15-07:00,Bank Dhofar
Apple,ØªÙ… Ø§ÙŠÙ‚Ø§Ù� Ø§Ù„ØªØ·Ø¨ÙŠÙ‚ Ù„Ù�ØªØ±Ù‡ Ø·ÙˆÙŠÙ„Ø©,Ù„Ù‚Ø¯ ØªÙˆÙ‚Ù� Ø§Ù„ØªØ·Ø¨ÙŠÙ‚ Ù„Ù�ØªØ±Ù‡ Ø·ÙˆÙŠÙ„Ø© Ùˆ ØªØ³Ø¨Ø¨ Ù„ÙŠ Ø¨Ø®Ø³Ø§Ø¦Ø± ÙƒØ¨ÙŠØ±Ø©,,2024-02-22T05:50:50-07:00,Bank Dhofar
Apple,Needs an update,The app keeps crashing at times also the transfers via mobile number doesn't work,,2024-02-22T00:33:52-07:00,Bank Dhofar
Apple,ÙˆÙ„Ø§ÙŠØ© Ø¹Ø¨Ø±ÙŠ,Ø¨Ù†Ùƒ Ø¸Ù�Ø§Ø± Ø§Ù„ÙˆØ­ÙŠØ¯ Ù�ÙŠ Ø§Ù„Ø³Ù„Ø·Ù†Ø© Ø§Ù„Ø°ÙŠ ÙŠØ£Ø®Ø° Ù…Ø¨Ù„Øº Ø¹Ù†Ø¯ Ø§Ù„ØªØ­ÙˆÙŠÙ„ Ø¹Ø¨Ø± Ø§Ù„Ù‡Ø§ØªÙ� Ø§Ù„Ù†Ù‚Ø§Ù„ ØŒ Ù„Ù…Ø§Ø°Ø§ ØŸ ÙˆØ¨Ø§Ù‚ÙŠ Ø§Ù„Ø¨Ù†ÙˆÙƒ Ù„Ù… ØªØ£Ø®Ø° Ø£Ø¨Ø¯Ø§Ù‹.,,2024-02-21T08:14:34-07:00,Bank Dhofar
Apple,Useless app,It doesnâ€™t work at all its useless app I tried to change things at the settings but it wont get right,,2024-01-18T05:47:41-07:00,Bank Dhofar
Apple,Worst app,"Whatâ€™s this!! Half of the time the app is not accessible, this is very irritating!! This is a sign that I have to change the bank",,2024-01-05T01:21:17-07:00,Bank Dhofar
Apple,Very bad application,Very bad application and laggy,,2023-11-21T01:37:22-07:00,Bank Dhofar
Apple,Feedback,Ø§ÙˆÙ„ Ù…Ø±Ù‡ Ø§Ø´ÙˆÙ� Ø¨Ø±Ù†Ø§Ù…Ø¬ Ø²Ø¨Ø§Ù„Ù‡ Ù„Ø°ÙŠ Ø§Ù„Ø¯Ø±Ø¬Ù‡,,2023-11-15T20:54:36-07:00,Bank Dhofar
Apple,Ø³Ø³,ÙŠØ§Ø®ÙŠ Ø§Ù„ØªØ·Ø¨ÙŠÙ‚ Ù…Ùˆ Ø±Ø§Ø¶ÙŠ ÙŠØ­ÙˆÙ„ Ù�Ù„ÙˆØ³ ÙˆÙ„Ø§ ÙŠØ³ÙˆÙŠ Ø´ÙŠ Ø­Ù„ÙˆØ§ Ø§Ù„Ù…Ø´ÙƒÙ„Ø©,,2023-11-04T03:16:01-07:00,Bank Dhofar
Apple,Personal shortcuts not working,Personal shortcuts page is not working There is a problem with the application,,2023-10-21T05:30:30-07:00,Bank Dhofar
Apple,Dosent work properly,bad app,,2023-10-20T13:14:27-07:00,Bank Dhofar
Apple,ØºÙŠØ± Ø¬ÙŠØ¯,Ù„ÙŠØ´ Ù…Ø§Ø´ÙŠ Ù„ØºØ© Ø¹Ø±Ø¨ÙŠØ© Ù�ÙŠ ØªØ·Ø¨ÙŠÙ‚,,2023-10-07T09:03:44-07:00,Bank Dhofar
Apple,ØªØ§Ø±ÙŠØ® Ø§Ù†ØªÙ‡Ø§Ø¡ Ø§Ù„Ù‚Ø±Ø¶ Ù…Ø§Ù…ÙˆØ¬ÙˆØ¯,Ù�Ø§Ù„ØªØ·Ø¨ÙŠÙ‚ Ø§Ù„Ù‚Ø¯Ù… ÙƒØ§Ù† Ù…ÙˆØ¬ÙˆØ¯ Ù�ÙŠ Ù‡Ø°Ø§ ØºÙŠØ± Ù…ÙˆØ¬ÙˆØ¯ ÙˆÙƒØ«Ø± Ø®Ø¯Ù…Ø§Øª Ù…Ø§Ù…ÙˆØ¬ÙˆØ¯Ù‡ Ù†Ø­Ø¯Ø«Ù‡ ÙƒØ°Ø§ Ø¨Ø³ Ù�Ø§Ù„Ù�Ø§Ø¶ÙŠ Ù…Ø§ÙŠØ²ÙŠØ¯ Ø´ÙŠ Ù†Ø®Ø³Ø± Ù�Ù„ÙˆØ³ Ø¨Ø³,,2023-09-01T04:21:32-07:00,Bank Dhofar
Apple,Getting errors and previous version was better,Often facing issues with the application I need to process a transaction & getting error message etc,,2023-07-26T13:24:12-07:00,Bank Dhofar
