store,title,review,rating,date,bank_name
Apple,Bug,The app log in and then log out in the next 10 seconds. I don't know what the problem is. show the session expired,,2025-08-09T00:56:16-07:00,Bank Muscat
Apple,ØªØ­Ø¯ÙŠØ« ØªØ­ÙˆÙŠÙ„,ØºÙŠØ± Ø¬ÙŠØ¯ Ø§Ø¨Ø¯Ø§Ù‹ Ø§ØªÙ…Ù†Ù‰ ÙŠØ±Ø¬Ø¹ Ø§Ù„ØªØ­ÙˆÙŠÙ„ Ø§Ù„Ù„ÙŠ Ù‚Ø¨Ù„,,2025-07-25T15:47:25-07:00,Bank Muscat
Apple,I am bank muscat new moblie registration I am forget user Iâ€™d and password please help me,I am bank muscat new moblie registration I am forget user Id and password please help me,,2025-07-21T06:51:09-07:00,Bank Muscat
Apple,App crashing once again,"After the new update the app keeps crashing. Everytime I go to any other page onceâ€™s logged in, it abruptly crashes the app. Please fix this",,2025-07-08T07:52:03-07:00,Bank Muscat
Apple,ØªØ­ÙˆÙŠÙ„ Ø§Ù„Ø±ØµÙŠØ¯ Ø¹Ø¨Ø± Ø§Ù„Ù‡Ø§ØªÙ� Ø§Ù„Ù†Ù‚Ø§Ù„,Ø§ØªÙ…Ù†Ù‰  Ø§Ø¶Ø§Ù�Ø© Ù…ÙŠØ²Ø© Ø§Ø®Ù�Ø§Ø¡ Ø§Ù„Ø±ØµÙŠØ¯ Ø§Ù„Ù…ØªÙˆÙ�Ø±   Ø¹Ù†Ø¯ Ø§Ù„Ù‚ÙŠØ§Ù… Ø¨Ø¹Ù…Ù„ÙŠØ© ØªØ­ÙˆÙŠÙ„ Ø§Ù„Ø±ØµÙŠØ¯ Ø¹Ø¨Ø± Ø§Ù„Ù‡Ø§ØªÙ� Ø§Ù„Ù†Ù‚Ø§Ù„,,2025-07-06T08:15:04-07:00,Bank Muscat
Apple,Last Update,"Since the last update the app doesnâ€™t work as normal as before, it keeps logging out automatically with a message saying â€œsession time outâ€�",,2025-07-05T07:13:27-07:00,Bank Muscat
Apple,"Works less, crashes more","3 days out of 7 days in a week, this app is either down or crashes every minute. Keep logging in 10 times to do one transaction. Everything that can go wrong in an app is displayed here. Poor poor banking standards.",,2025-07-01T05:54:23-07:00,Bank Muscat
Apple,Ø§Ø¸Ù‡Ø§Ø± Ø§Ø³Ù… Ø§Ù„Ø´Ø®Øµ ÙƒØ§Ù…Ù„ Ø§Ù„Ù…Ø±Ø§Ø¯ ØªØ­ÙˆÙŠÙ„ Ù„Ù‡ Ø§Ù„Ù…Ø¨Ø§Ù„Øº,Ù†Ø±ÙŠØ¯ Ø§Ø¸Ù‡Ø§Ø± Ø§Ø³Ù… Ø§Ù„Ø´Ø®Øµ ÙƒØ§Ù…Ù„ Ø§Ù„Ù…Ø±Ø§Ø¯ Ø§Ù„ØªØ­ÙˆÙŠÙ„ Ù„Ù‡ Ø¹Ù† Ø·Ø±ÙŠÙ‚ Ø±Ù‚Ù… Ø§Ù„Ù‡Ø§ØªÙ� .. Ù…Ø§ Ù†Ø±ÙŠØ¯ Ø­Ø±Ù�ÙŠÙ† ÙˆÙ†Ø¬ÙˆÙ… ******,,2025-06-25T03:26:01-07:00,Bank Muscat
Apple,Test the app before launching,The app keeps on crushing all the time even while logging in whether with password or Face ID. Itâ€™s genuinely tiring I canâ€™t keep up with this!!! Itâ€™s been weeks!!!!!,,2025-06-10T12:46:06-07:00,Bank Muscat
Apple,Ø§Ù†Ø§ ÙˆØ§Ø¬Ø¯ Ù…Ø³ØªØ§Ø¡ Ù…Ù† Ø§Ù„ØªØ·Ø¨ÙŠÙ‚ Ùˆ Ù…Ø´Ø§ÙƒÙ„Ù‡,Ø¨Ø¯Ù„Øª ØªÙ„Ù�ÙˆÙ†ÙŠ Ù„ ØªÙ„Ù�ÙˆÙ† Ø«Ø§Ù†ÙŠ Ù†Ù�Ø³ Ø§Ù„Ø§ÙŠÙƒÙ„Ø§ÙˆØ¯ Ùˆ Ù†Ù�Ø³ ÙƒÙ„ Ø´ÙŠ Ù„Ù…Ø§ Ø¬ÙŠØª Ø§Ø³ÙˆÙŠ ØªØ³Ø¬ÙŠÙ„ Ø¯Ø®ÙˆÙ„ ÙŠØ·Ù„Ø¹ Ù„ÙŠ Ø§Ù„Ù†Ø¸Ø§Ù… ØªØ­Øª Ø§Ù„ØµÙŠØ§Ù†Ø© Ùˆ Ù„Ù„Ø¹Ù„Ù… Ù‡Ø§Ù„ÙƒÙ„Ø§Ù… Ù…Ø± Ø¹Ù„ÙŠÙ‡ Ø´Ù‡Ø±ÙŠÙ†  Ù„ÙŠØ´ Ù‡Ø°Ø§ ÙƒÙ„Ù‡ ÙŠØ¹Ù†ÙŠ ÙŠØ§Ø±ÙŠØª Ø­Ø¯ ÙŠÙ�Ù‡Ù…Ù†ÙŠ,,2025-06-03T21:51:16-07:00,Bank Muscat
Apple,The app is very week,Sometimes not working,,2025-05-30T03:53:22-07:00,Bank Muscat
Apple,Updating app,"Very bad in receiving data for updates, more over updates are very frequent, and no notice for any improvements !!

Bank Muscat you need to hire better employees!!",,2025-05-25T00:39:33-07:00,Bank Muscat
Apple,Problem,Canâ€™t download,,2025-05-24T18:38:18-07:00,Bank Muscat
Apple,Bank muscat,Good,,2025-05-24T13:41:58-07:00,Bank Muscat
Apple,Ø§Ù„ÙˆØ§Ø¯ÙŠ Ø§Ù„ÙƒØ¨ÙŠØ±,Ù…Ø³Ø¬Ø¯ Ø§Ù„ÙƒÙˆÙŠØªÙŠ,,2025-05-24T13:41:37-07:00,Bank Muscat
Apple,Very slow,Bad service and slow,,2025-05-23T05:36:13-07:00,Bank Muscat
Apple,E-mandate,"There is no option to create a new E-mandate in M-banking , pls do the needful to provide it.",,2025-05-22T18:54:28-07:00,Bank Muscat
Apple,Ø¹Ø·Ù„ Ù„ÙˆØ­Ø© Ø§Ù„Ù…Ù�Ø§ØªÙŠØ­ (ÙƒØªØ§Ø¨Ø© Ø§Ù„Ù†Ù‚Ø·Ø©),Ø§Ù„Ø¨Ø±Ù†Ø§Ù…Ø¬ Ø¬ÙŠØ¯ Ø¬Ø¯Ù‹Ø§ ÙˆÙ„ÙƒÙ† Ø§Ø¹Ø§Ù†ÙŠ Ù…Ù† Ù…Ø´ÙƒÙ„Ø© ÙƒØªØ§Ø¨Ø© Ø§Ù„Ù�Ø§ØµÙ„Ø© Ù„Ø§ØªØ¸Ù‡Ø± Ù…Ø¹ÙŠ ÙˆØ­Ø§ÙˆÙ„Øª Ø§Ù„ØªÙˆØ§ØµÙ„ Ø§ÙƒØ«Ø± Ù…Ù† Ù…Ø±Ø© Ù…Ø¹ Ù…Ø±ÙƒØ² Ø§Ù„Ø§ØªØµØ§Ù„Ø§Øª ÙˆØ§ÙŠØ¶Ù‹Ø§ Ø§Ù„Ù…ÙˆØ¸Ù�ÙŠÙ† Ù�ÙŠ Ø§Ù„Ù�Ø±ÙˆØ¹ ÙˆÙ„ÙƒÙ† Ù„Ø§ Ø¬Ø¯ÙˆÙ‰,,2025-05-20T03:20:37-07:00,Bank Muscat
Apple,Update,First time seeing an app that doesnâ€™t want to update. Click update and it doesnâ€™t move a mm,,2025-05-19T11:24:12-07:00,Bank Muscat
Apple,ØŸØŸØŸØŸ,Ø§Ù„ØªØ·Ø¨ÙŠÙ‚ Ù…Ø¹Ù„Ù‚ØŒØŒØŒ Ù…Ø§ Ø§Ø³ØªØ£Ù†Ù� Ø§Ù„ØªØ±Ù‚ÙŠÙ‡!!!,,2025-05-18T12:07:49-07:00,Bank Muscat
Apple,App login trouble,"Kindly fix the issue of device registration again again and again!!! I had to re-register my device at least 50 times!! After every few days, a prompt says â€œ LOOKS LIKE YOU ARE LOGGING IN FROM A NEW DEVICE!!!â€� . I was asked to logout from all logged in devices for iCloud, which I did. Still, the same issue!!! No solution!!!",,2025-05-04T07:18:38-07:00,Bank Muscat
Apple,Ø§Ø³ÙˆÙ‰ Ø¨Ù†Ùƒ Ù�Ø¹Ù…Ø§Ù†,Ø§Ø³ÙˆÙ‰ Ø¨Ù†Ùƒ Ù�Ø¹Ù…Ø§Ù†,,2025-05-02T12:52:18-07:00,Bank Muscat
Apple,Ø§Ù„ØªØ­Ø¯ÙŠØ« Ø§Ù„Ø§Ø®ÙŠØ± Ù�ÙŠÙ‡ Ù…Ø´Ø§ÙƒÙ„,Ù…Ø´Ø§ÙƒÙ„ Ù�ÙŠ Ø§Ù„Ø¯Ø®ÙˆÙ„,,2025-05-01T00:06:13-07:00,Bank Muscat
Apple,Canâ€™t add beneficiary,I couldnâ€™t add .,,2025-04-30T15:44:50-07:00,Bank Muscat
Apple,Transferring money,"After the last update . Transferring terms and conditions are too bad that you cannot transfer money more than 500 and the registration of account takes 24 our hour . I donâ€™t know why they made it too complicated. Other banks are advancing and developing, while Bank Muscat is regressing.",,2025-04-28T23:29:01-07:00,Bank Muscat
Apple,Omar Alkiyumi,"Perfect features , the best bank app",,2025-04-25T09:49:30-07:00,Bank Muscat
