source,author,title,review_text,rating,bank
Apple,Edwingeorge,Bug,The app log in and then log out in the next 10 seconds. I don't know what the problem is. show the session expired,2,Bank Muscat
Apple,طرزطتطرذًذ,تحديث تحويل,غير جيد ابداً اتمنى يرجع التحويل اللي قبل,1,Bank Muscat
Apple,hassan_zafarwali,I am bank muscat new moblie registration I am forget user I’d and password please help me,I am bank muscat new moblie registration I am forget user Id and password please help me,3,Bank Muscat
Apple,CptSyndicate,App crashing once again,"After the new update the app keeps crashing. Everytime I go to any other page once’s logged in, it abruptly crashes the app. Please fix this",1,Bank Muscat
Apple,jhoon123,تحويل الرصيد عبر الهاتف النقال,اتمنى  اضافة ميزة اخفاء الرصيد المتوفر   عند القيام بعملية تحويل الرصيد عبر الهاتف النقال,5,Bank Muscat
Apple,Alatif095,Last Update,"Since the last update the app doesn’t work as normal as before, it keeps logging out automatically with a message saying “session time out”",1,Bank Muscat
Apple,Vaidya Vatsal,"Works less, crashes more","3 days out of 7 days in a week, this app is either down or crashes every minute. Keep logging in 10 times to do one transaction. Everything that can go wrong in an app is displayed here. Poor poor banking standards.",1,Bank Muscat
Apple,MSO8878,اظهار اسم الشخص كامل المراد تحويل له المبالغ,نريد اظهار اسم الشخص كامل المراد التحويل له عن طريق رقم الهاتف .. ما نريد حرفين ونجوم ******,2,Bank Muscat
Apple,27shayleen,Test the app before launching,The app keeps on crushing all the time even while logging in whether with password or Face ID. It’s genuinely tiring I can’t keep up with this!!! It’s been weeks!!!!!,1,Bank Muscat
Apple,Mohamed . Albulushi,انا واجد مستاء من التطبيق و مشاكله,بدلت تلفوني ل تلفون ثاني نفس الايكلاود و نفس كل شي لما جيت اسوي تسجيل دخول يطلع لي النظام تحت الصيانة و للعلم هالكلام مر عليه شهرين  ليش هذا كله يعني ياريت حد يفهمني,1,Bank Muscat
Apple,👊🏽fact,The app is very week,Sometimes not working,1,Bank Muscat
Apple,king f kngs,Updating app,"Very bad in receiving data for updates, more over updates are very frequent, and no notice for any improvements !!

Bank Muscat you need to hire better employees!!",1,Bank Muscat
Apple,asasaa1,Problem,Can’t download,1,Bank Muscat
Apple,Dimpozzz,Bank muscat,Good,5,Bank Muscat
Apple,Hana al jabri,الوادي الكبير,مسجد الكويتي,5,Bank Muscat
