source,author,title,review_text,rating,bank
Apple,تنبيه عاجل,بنك صحار,البرنامج بطئ جدا للاسف يا بنك صحار,1,Sohar International
Apple,Chittigopi,Update not happening,I’m unable to update the application,1,Sohar International
Apple,Dru.3,App not updating..unable to access,I’ve been trying to update the app since yesterday.. it’s not updating. Kindly solve the issue since I need urgent access to the app.,3,Sohar International
Apple,"4,800y",خطأ في تسجيل الدخول,يوجد خطأ في تسجيل الدخول وكلمة المرور الرجاء مراجعة آخر تحديث للبرنامج ،،،,2,Sohar International
Apple,Rufuku,Transfer not possible,With the new update Iam not able to transfer and OTP comes late-Please check the system,3,Sohar International
Apple,Soooooooiöti,When adding beneficiaries no save button,Please fix,1,Sohar International
Apple,Anqoodi,The worst Bank in Oman,To solve any issue they need ages & there is no update at all regarding your issue unless you call or visit any branch which will be full day activity I don’t recommend anyone to open an account on this Bank from real bad experience,1,Sohar International
Apple,Mr.Fartoro,"Smooth, Fast & Convenient Banking","Opening an account with Bank Sohar has never been easier! Their mobile application allows you to open an account effortlessly, without the need to visit a branch. The process is quick, user-friendly, and requires minimal documentation.

One of the best features is the doorstep delivery of debit/credit cards, saving time and adding convenience. Additionally, online shopping is smooth and fast, with secure transactions and seamless payment processing, ensuring a hassle-free experience.

With its innovative digital services, excellent customer support, and commitment to convenience, Bank Sohar is a top choice for modern banking. Highly recommended!",5,Sohar International
Apple,فاروق ابو عمر,بنك صحار الدولي,"بنك صحار الدولي 
ممتاز جداً",5,Sohar International
Apple,syedahmer66,Update KYC failure,"I am unable to update my kyc details. The app takes pics of card, verify my face, even pull data from ROP and at the final proceed button it failed and asking me to visit newrest branch. Very disappointed",1,Sohar International
Apple,Alqarooty,Mobile transfer,I can’t make username for phone number transfer I tried many different names but it doesn’t work,1,Sohar International
Apple,26Akansha,Very easy and user friendly,I have 3 banks app in Oman and this app is best to use because of its simplicity. Big fan of Monthly Planner feature of the app.,5,Sohar International
Apple,DeepakLC,Awesome,It’s good banking application which serve my purpose,5,Sohar International
Apple,Haider.Khamis,Seamless!,"Easy, convenient and user friendly",5,Sohar International
Apple,Ibrahim Al Brashdi,User Friendly,"Sohar International’s App is very user friendly, fast and has all the essential features for banking on the go!",5,Sohar International
Apple,Saeed Ali H,Excellent App,It is truly a first class practical application that meets all the banking needs of individuals.,5,Sohar International
Apple,؛@52738383&&؛&؛﷼.﷼.:&&:&,فاعل خير,لماذا لا يمكن فتح حساب عن طريق التطبيق بدل ما نروح للفرع؟,4,Sohar International
Apple,Nicky1379@,Amazing!!,Amazing!!,5,Sohar International
Apple,aaaaziz87,Good application,Fast and good,5,Sohar International
Apple,Abdullah………,Beyond banking,The only banking app in Oman providing beyond banking services.,5,Sohar International
Apple,HamedAS,Application,This application is the best bank app in oman,5,Sohar International
Apple,Yousuf552,Best App in banking sector,I’m amazed about the extra services outside the banking which gives me the ability to enjoy seamless experience.,5,Sohar International
Apple,bravo sun,Poor banking,"Poor banking applications in this advanced world using this bank services and bank work hour timings are like early 2000’s ! when you want to transfer. bank will say outside working hours, does Thursday 12pm is outside working hours? Poor services i would like to quit using this bank.",1,Sohar International
Apple,imc360,Well done !!,"SI well done super app very user friendly !!! And quick loving it !!! 

Beneficiary Adding super quick payment online I would say best in oman for me . 

Excellent service guys !!!!",5,Sohar International
Apple,FR201098,The best banking application,Very user friendly application,4,Sohar International
Apple,"H1010""",Great app with loads of features,"Latest update have nice new features , easy to use",5,Sohar International
Apple,Asadbm,App Rating,Amazing app and amazing features.,5,Sohar International
Apple,الامين00,؟؟؟,"Entering the program has become difficult for a person, and it is unfortunate that I have to wait for a period in vain to enter the program. Things have become more complicated to enter the program. I have an iPhone 13 phone, bro. I find it difficult to enter the program.",1,Sohar International
Apple,.Diplomat..((XOX))..Engineer.,Always stuck,"I can’t login to the app always fail , I tried to delete it and installed again but no use, it always says to me your phone not meeting the minimum security requirement! Iam using iphone 14pro max and not jailbreaking ! So what else i need to provide???",1,Sohar International
Apple,وليد الحوسني,Minimum security requirements error,"Dear developers
Hope you are doing well
When i open the app it shows an error that my mobile phone does not meet the Minimum security requirements.

My phone is Iphone 15 pro max 
IOS 17.4.1",2,Sohar International
Apple,just4me999,حسابات الاطفال,لماذا لا يوجد ربط بين حسابات الاطفال وولي الامر لتسهيل المعاملات المالية الالكترونيه واهمها تحويل الاموال,1,Sohar International
Apple,بن صعر,Wealth Management Customer Unable to Register,"Unfortunately, I opened VIP account and always my ID Number being rejected to register for this app. Call center unable to support.",1,Sohar International
Apple,conrad721,App not opening in the Philippines,Why?,3,Sohar International
Apple,lahibnar,Bad app,"I can’t recharge my prebaid card pay use app
Already i call central number but still issue not solve",1,Sohar International
Apple,amer994656,تحويلات بنكيه بدون رسوم,البنك متميز من ناحيه التحويلات بدون رسوم و هذا ما جعلني افتح حسابات لي و لاهلي في البنك اتمنى استمرار هذه الميزه,5,Sohar International
Apple,Hajir Fajwani,WORST APP,This is the worst mbanking application!!!! I transferred money to my bank Muscat account it has been 15 days I still haven't gotten my money in my bank muscat account (this has happened to me multiple times before!) I have been trying to transfer money to another account and it doesnt work! My work keeps on getting delayed because of how BAD THIS APPLICATION IS!,1,Sohar International
